pool_id,chain,symbol,project,stablecoin,count
8b476182-619c-4bc6-80b1-2524f0f1c38f,Linea,SAMM-ALUSD-USDC,lynex-fusion,False,43
dd998393-9abe-4c08-b5db-b181babb235e,Solana,BSOL,save,False,458
2608e751-41d4-47db-9b9c-4bf3a757fc1b,Ethereum,WBTC-USDT,uniswap-v3,False,945
55de30c3-bf9f-4d4e-9e0b-536a8ef5ab35,Ethereum,SFRAX,frax,True,207
ca047c51-bc3d-4185-b930-527e3939e740,Ethereum,PUFETH,pendle,False,61
7d6b5ec4-afc4-482c-b420-38e999ed1bfa,Ethereum,PUFETH,pendle,False,61
5c886b97-2625-4859-8ec7-36928be59047,Cronos,CDCETH,orby-network,False,184
4353715f-6172-41db-a615-aac308e11af6,Sui,VOLOSUI,navi-lending,False,324
0aa735e0-4cef-4b56-87ea-f75919b2bab0,Sui,HASUI-SUI,cetus-amm,False,289
77e0e01b-e62e-4de4-83f0-9e581872b77d,Ethereum,LBTC,pendle,False,34
05216992-5538-4c93-aecc-49398388464f,Ethereum,LBTC,pendle,False,34
85c57261-b75b-4447-a115-d79b1a7de8ed,Ethereum,ETH,compound-v3,False,646
7be52986-18c2-450f-b74b-d65fb1205bbf,Ethereum,WETH,morpho-aave,False,753
2a235d75-10c4-4b26-8aa2-bd0c6ab9a647,Linea,EZETH,zerolend,False,221
acb09b67-8509-4e2a-adb4-4ce520084714,Ethereum,WETH,yearn-finance,False,945
03a0cf78-c2f0-4ce5-85a8-2d5b77349276,Optimism,WSTETH,aave-v3,False,618
d371fc69-9a77-4336-a129-ec79c9548266,Ethereum,FRAX-USDC,uniswap-v3,True,969
b984214f-fd1e-452e-9b19-0bca3ad6146c,Sui,USDT-WUSDC,cetus-amm,True,289
7b494682-7787-498a-b021-3a38439948e4,Solana,SOL-SOLAR,orca,False,3
d0558cac-0cd8-43a5-918d-bff3aa5d4ca8,Solana,SOL-MEMEBET,orca,False,1
a44febf3-34f6-4cd5-8ab1-f246ebe49f9e,Ethereum,STEAKUSDC,morpho-blue,True,160
1643c124-f047-4fc5-9642-d6fa91875184,Base,MWUSDC,morpho-blue,True,139
29518f02-7ee0-4ec8-878c-2e4c175e65e3,Aptos,ZUSDT,aries-markets,True,273
45bfb85f-deb5-4990-b9c4-cfb99629e6e8,BSC,BTCB,aave-v3,False,149
c89af47f-032a-4c59-bdc9-17a7f1514a3b,Ethereum,USDC,goldfinch,True,820
bd5f0157-491d-4d2b-a966-7f7bb5ca0331,Ethereum,MKR-USDC,morpho-blue,False,217
717e962a-6251-446f-8581-005f8e85ce03,Mixin,BTC,pando-leaf,False,704
45ef8c9e-bab3-44ae-bcf1-3c38044e0399,Ethereum,USDE-DAI,morpho-blue,True,220
1170b465-309b-4026-b10d-abdf7b1ac369,Solana,SOL,save,False,890
0c3c1b07-7c36-4fbb-8e71-226e02bf15c1,Cronos,USDC,tectonic,True,815
5f92620a-e60b-4871-baee-1e47cb074764,Ethereum,WETH,across,False,832
9c4e675e-7615-4d60-90ef-03d58c66b476,Ethereum,USD3,reserve-protocol,True,201
2345a568-1820-42ea-bc62-7c3091ee9f93,Core,SOLVBTC.CORE,colend-protocol,False,13
5b1fe146-7cbd-448d-bf53-8df9c3501016,Polygon,MATICX,stader,False,265
08eaf098-4957-4922-bfca-cc0c46505a43,Ethereum,ETH-STETH,curve-dex,False,531
9f035eb1-ec9d-4324-8a9a-333ef47eeeee,Kava,WBTC,kava-mint,False,731
7da72d09-56ca-4ec5-a45f-59114353e487,Ethereum,USDC,compound-v3,True,757
d63bb7be-932a-4e8b-b8da-29532366297d,Polygon,USDR,tangible-rwa,True,453
9837ed71-8e5e-45c4-a56d-54d738a1cb1e,Solana,BSOL,kamino-lend,False,352
985400b0-1470-4bfc-800c-fea6444bf6c4,Ethereum,WETH-OSETH,balancer-v2,False,39
232c1572-7942-4c5d-9f83-c93be39ac734,Base,IDLE-MARKET-WETH,morpho-blue,False,137
e378a7c2-6285-4993-9397-87ac9c8adc15,Ethereum,ETH-STETH,convex-finance,False,527
468e4c2c-02df-427a-b2c7-5cea3a77014a,Ethereum,GTUSDCCORE,morpho-blue,True,160
b37c26c3-848f-45f0-bd75-af97f1674a4d,Cronos,USDT,tectonic,True,815
e513379e-1af2-41a8-98fc-9d4bedbefbe4,Aptos,ZUSDC,aries-markets,True,273
30eedaf4-83f7-418b-985b-89478d4b90e6,Ethereum,BAL-WETH,balancer-v2,False,948
9be33e76-5f9c-435f-a008-e33965f602d8,Ethereum,WHITE-WETH,uniswap-v3,False,336
a14bd201-764c-40a5-86b8-2928b2461232,Arbitrum,WETH-USDC,uniswap-v3,False,454
3d57101f-5d5a-414e-a3d9-a05b8d89bf20,Ethereum,LBTC(CORN),pendle,False,56
f7826423-8043-4799-b12a-83a68adc992d,Ethereum,LBTC(CORN),pendle,False,56
b476bcc4-a129-4aa7-aa33-19378cabee01,Ethereum,ETH-RUNE,thorchain,False,913
eba3035b-9364-4801-8c0c-bff35e5733fe,Ethereum,STETH,pendle,False,567
d9e325d2-c58a-4be0-b893-c4f6a2de08f5,Ethereum,STETH,pendle,False,567
4f670e62-8e0c-4df8-b43b-63e990ddae6f,Bitcoin,BTC,thorchain,False,393
504d25f6-9720-4bc3-bac3-3d4cb2e528c3,Ethereum,WBTC,crvusd,False,328
eaece65e-ffb2-4631-a95e-7f267cb2f1ba,Solana,PYUSD,kamino-lend,True,133
d22deafb-dbb1-417c-b555-cc8c9f4b955a,Ethereum,SDAI-SUSDE,curve-dex,True,259
bbecbf69-a4f7-43e3-8b72-de180d106e2c,Ethereum,WBTC-USDC,uniswap-v3,False,925
f7dd8768-77be-4f91-96d6-dd563ac23dd5,Ethereum,WETH-USDT,uniswap-v3,False,945
923d43c8-455e-4196-9b5d-afcc966c934f,Solana,SOL-JITOSOL,orca,False,636
36e53dd0-7048-4d8b-aec3-c26708edb67c,Venom,VENOM,venomstake,False,187
99203560-4a69-4a67-9dbc-70b78a68a2b9,Solana,PYUSD-USDC,orca,True,135
13b0db7c-491b-47d5-a2fb-e5af0a17b1d1,Cronos,USDT-USDC,vvs-standard,True,832
0b65cb9f-2c63-40d5-9344-2a867fbfc41a,Ethereum,WBTC,makerdao,False,737
e053590b-54f1-40aa-ae0d-14e701ca734c,Optimism,WBTC,aave-v3,False,819
355a3a23-eee5-4a08-90d6-e2291f63bd56,Ethereum,ACX,across,False,705
4a034401-8ce1-419c-8962-332884100cab,Ethereum,IDLE-MARKET-DAI,morpho-blue,False,150
55616349-b749-4467-8edc-abbb40ae80f6,Solana,SOL-JITOSOL,kamino-liquidity,False,337
ffb4e407-6507-4615-b776-a0d99cfc1bbb,Arbitrum,WBTC.B-WBTC.B,gmx-v2-perps,False,201
32038bbe-b72d-49ab-aa17-37d61d44c579,BSC,CAKE-WBNB,pancakeswap-amm,False,850
bb7e9353-129f-4e01-b822-f4250d0abb8a,Arbitrum,WBTC-WETH,uniswap-v3,False,891
5d3c8dc7-276d-4bbe-8a98-6d75770fada8,Base,WETH-USDC,aerodrome-v1,False,301
2b9bf1c6-a018-4e93-a32f-7cf6ccd311fc,Polygon,WETH,aave-v3,False,819
9f79f58d-6192-4ea1-944e-e1ae866fc2b2,Ethereum,PEPE-WETH,uniswap-v2,False,513
a5453ca0-7ec4-44b8-81c8-9154ce8465f7,Ethereum,OUSG,flux-finance,False,611
e201dbed-63fa-48e2-bfa2-f56e730167d2,Ethereum,ANKRETH,ankr,False,879
782161ae-9fb4-4db7-a39c-bac2e7e946fb,Ethereum,EBTC,pendle,False,68
e093fa52-1f6a-4256-9e3e-a58490468c0e,Ethereum,EBTC,pendle,False,68
51de19bd-d2a6-420e-9bbd-350c967b23d0,Ethereum,SUSDE-DAI,morpho-blue,True,222
991df258-b474-4a40-8482-acf080e8ab39,Ethereum,STETH-FRXETH,curve-dex,False,613
44de24fd-6829-4fe3-8758-cb2bcee3cec5,Solana,SOL-BCF,orca,False,1
e302de4d-952e-4e18-9749-0a9dc86e98bc,Arbitrum,WETH,aave-v3,False,819
298213cf-d424-444e-9a78-900d3bfa1d08,Ton,TSTON-USD₮,ston.fi,False,64
ec27e418-f00d-45ff-b7af-804c1967f5d9,BSC,$CINU,babydogeswap,False,407
f15cbe11-02f5-4694-a689-46fee5c47849,Sui,HAEDALSUI,navi-lending,False,313
2fa87ded-b27a-4348-b852-e64acd817b79,Ethereum,WBTC-LBTC,uniswap-v3,False,76
efb25a57-ec51-4f74-9b2c-a1206bd69a93,Ethereum,COMP,compound-v3,False,757
0cc952a9-714e-4724-9fed-56ac675e34c5,Ethereum,SIFU,uwu-lend,False,217
7bafc0e5-3789-4920-944f-d734d3ef0cef,Ethereum,EETH,pendle,False,205
2b31041f-2be6-4d8b-8ecd-a76837ba64c3,Ethereum,EETH,pendle,False,205
